"BehaviorSpace results (NetLogo 5.3)"
"truel.nlogo"
"sequential"
"02/21/2016 18:03:28:108 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","bullets","q","sequential?","diag?","[step]","payoff","player 0 != nobody"
"129","0","0.5","true","false","2","4","true"
"130","0","0.5","true","false","2","5","false"
"131","0","0.5","true","false","2","4","true"
"122","0","0.5","true","false","9","25","true"
"127","0","0.5","true","false","6","16","true"
"132","0","0.5","true","false","2","4","true"
"133","0","0.5","true","false","2","4","true"
"134","0","0.5","true","false","2","2","false"
"135","0","0.5","true","false","2","2","false"
"136","0","0.5","true","false","3","7","true"
"138","0","0.5","true","false","2","4","true"
"137","0","0.5","true","false","3","8","false"
"142","0","0.5","true","false","2","4","true"
"143","0","0.5","true","false","2","4","true"
"140","0","0.5","true","false","5","13","true"
"144","0","0.5","true","false","2","4","true"
"139","0","0.5","true","false","6","16","true"
"145","0","0.5","true","false","3","7","true"
"141","0","0.5","true","false","7","19","true"
"147","0","0.5","true","false","2","5","false"
"148","0","0.5","true","false","2","5","false"
"149","0","0.5","true","false","2","4","true"
"150","0","0.5","true","false","2","4","true"
"146","0","0.5","true","false","5","13","true"
"151","0","0.5","true","false","2","2","false"
"152","0","0.5","true","false","3","7","true"
"153","0","0.5","true","false","2","4","true"
"154","0","0.5","true","false","2","4","true"
"155","0","0.5","true","false","2","2","false"
"156","0","0.5","true","false","3","2","false"
"157","0","0.5","true","false","3","7","true"
"159","0","0.5","true","false","2","4","true"
"160","0","0.5","true","false","3","7","true"
"161","0","0.5","true","false","2","2","false"
"162","0","0.5","true","false","3","7","true"
"163","0","0.5","true","false","2","4","true"
"165","0","0.5","true","false","2","4","true"
"164","0","0.5","true","false","3","2","false"
"158","0","0.5","true","false","8","22","true"
"166","0","0.5","true","false","2","4","true"
"167","0","0.5","true","false","2","2","false"
"168","0","0.5","true","false","3","7","true"
"169","0","0.5","true","false","3","7","true"
"171","0","0.5","true","false","2","4","true"
"172","0","0.5","true","false","2","4","true"
"173","0","0.5","true","false","2","5","false"
"170","0","0.5","true","false","3","7","true"
"177","0","0.5","true","false","2","4","true"
"176","0","0.5","true","false","2","2","false"
"175","0","0.5","true","false","3","7","true"
"178","0","0.5","true","false","2","4","true"
"179","0","0.5","true","false","2","2","false"
"180","0","0.5","true","false","2","4","true"
"174","0","0.5","true","false","7","19","true"
"181","0","0.5","true","false","2","4","true"
"182","0","0.5","true","false","2","4","true"
"184","0","0.5","true","false","2","4","true"
"185","0","0.5","true","false","2","2","false"
"183","0","0.5","true","false","3","7","true"
"186","0","0.5","true","false","2","4","true"
"187","0","0.5","true","false","2","2","false"
"189","0","0.5","true","false","2","5","false"
"188","0","0.5","true","false","3","7","true"
"191","0","0.5","true","false","2","4","true"
"190","0","0.5","true","false","3","7","true"
"192","0","0.5","true","false","3","7","true"
"194","0","0.5","true","false","3","7","true"
"195","0","0.5","true","false","2","2","false"
"193","0","0.5","true","false","5","13","true"
"197","0","0.5","true","false","2","4","true"
"196","0","0.5","true","false","2","4","true"
"198","0","0.5","true","false","2","4","true"
"199","0","0.5","true","false","2","5","false"
"204","0","0.5","true","false","2","2","false"
"202","0","0.5","true","false","2","5","false"
"201","0","0.5","true","false","2","2","false"
"205","0","0.5","true","false","2","2","false"
"206","0","0.5","true","false","2","4","true"
"200","0","0.5","true","false","4","10","true"
"208","0","0.5","true","false","2","5","false"
"207","0","0.5","true","false","2","4","true"
"209","0","0.5","true","false","2","4","true"
"203","0","0.5","true","false","8","22","true"
"210","0","0.5","true","false","4","10","true"
"212","0","0.5","true","false","3","7","true"
"211","0","0.5","true","false","4","10","true"
"214","0","0.5","true","false","2","2","false"
"215","0","0.5","true","false","2","4","true"
"213","0","0.5","true","false","3","7","true"
"216","0","0.5","true","false","2","2","false"
"217","0","0.5","true","false","2","4","true"
"218","0","0.5","true","false","2","2","false"
"221","0","0.5","true","false","2","4","true"
"220","0","0.5","true","false","2","5","false"
"219","0","0.5","true","false","3","2","false"
"222","0","0.5","true","false","2","4","true"
"223","0","0.5","true","false","2","5","false"
"224","0","0.5","true","false","2","2","false"
"225","0","0.5","true","false","2","2","false"
"226","0","0.5","true","false","2","4","true"
"228","0","0.5","true","false","2","4","true"
"227","0","0.5","true","false","2","2","false"
"230","0","0.5","true","false","2","4","true"
"229","0","0.5","true","false","3","7","true"
"232","0","0.5","true","false","2","4","true"
"231","0","0.5","true","false","3","2","false"
"233","0","0.5","true","false","2","4","true"
"236","0","0.5","true","false","2","2","false"
"238","0","0.5","true","false","2","5","false"
"234","0","0.5","true","false","5","13","true"
"237","0","0.5","true","false","4","10","true"
"239","0","0.5","true","false","3","7","true"
"235","0","0.5","true","false","6","16","true"
"240","0","0.5","true","false","2","4","true"
"241","0","0.5","true","false","2","5","false"
"242","0","0.5","true","false","2","4","true"
"245","0","0.5","true","false","2","2","false"
"246","0","0.5","true","false","2","5","false"
"247","0","0.5","true","false","2","4","true"
"244","0","0.5","true","false","3","7","true"
"248","0","0.5","true","false","2","4","true"
"243","0","0.5","true","false","7","19","true"
"250","0","0.5","true","false","2","4","true"
"249","0","0.5","true","false","4","10","true"
"253","0","0.5","true","false","2","4","true"
"252","0","0.5","true","false","2","2","false"
"254","0","0.5","true","false","3","7","true"
"251","0","0.5","true","false","5","13","true"
"257","0","0.5","true","false","2","4","true"
"258","0","0.5","true","false","2","4","true"
"255","0","0.5","true","false","4","10","true"
"259","0","0.5","true","false","3","7","true"
"261","0","0.5","true","false","2","2","false"
"260","0","0.5","true","false","4","10","true"
"262","0","0.5","true","false","2","2","false"
"256","0","0.5","true","false","7","19","true"
"263","0","0.5","true","false","3","7","true"
"264","0","0.5","true","false","2","2","false"
"265","0","0.5","true","false","3","7","true"
"266","0","0.5","true","false","2","2","false"
"269","0","0.5","true","false","2","2","false"
"267","0","0.5","true","false","2","4","true"
"271","0","0.5","true","false","3","7","true"
"268","0","0.5","true","false","4","10","true"
"272","0","0.5","true","false","3","7","true"
"270","0","0.5","true","false","4","10","true"
"274","0","0.5","true","false","2","4","true"
"273","0","0.5","true","false","4","10","true"
"275","0","0.5","true","false","2","5","false"
"277","0","0.5","true","false","2","4","true"
"276","0","0.5","true","false","2","4","true"
"278","0","0.5","true","false","2","5","false"
"279","0","0.5","true","false","2","4","true"
"282","0","0.5","true","false","2","4","true"
"281","0","0.5","true","false","2","5","false"
"280","0","0.5","true","false","3","7","true"
"283","0","0.5","true","false","2","2","false"
"285","0","0.5","true","false","2","5","false"
"284","0","0.5","true","false","4","10","true"
"287","0","0.5","true","false","2","4","true"
"288","0","0.5","true","false","2","4","true"
"289","0","0.5","true","false","2","2","false"
"286","0","0.5","true","false","4","10","true"
"290","0","0.5","true","false","2","4","true"
"291","0","0.5","true","false","2","4","true"
"292","0","0.5","true","false","2","4","true"
"293","0","0.5","true","false","2","4","true"
"296","0","0.5","true","false","2","4","true"
"295","0","0.5","true","false","2","4","true"
"294","0","0.5","true","false","3","7","true"
"297","0","0.5","true","false","3","7","true"
"299","0","0.5","true","false","2","2","false"
"300","0","0.5","true","false","2","4","true"
"302","0","0.5","true","false","2","5","false"
"301","0","0.5","true","false","2","5","false"
"298","0","0.5","true","false","4","10","true"
"303","0","0.5","true","false","2","2","false"
"304","0","0.5","true","false","2","4","true"
"305","0","0.5","true","false","2","4","true"
"306","0","0.5","true","false","2","2","false"
"307","0","0.5","true","false","2","4","true"
"309","0","0.5","true","false","2","4","true"
"310","0","0.5","true","false","2","4","true"
"311","0","0.5","true","false","2","2","false"
"308","0","0.5","true","false","4","10","true"
"312","0","0.5","true","false","3","7","true"
"314","0","0.5","true","false","2","4","true"
"313","0","0.5","true","false","2","2","false"
"315","0","0.5","true","false","2","5","false"
"316","0","0.5","true","false","2","5","false"
"317","0","0.5","true","false","2","4","true"
"319","0","0.5","true","false","2","4","true"
"318","0","0.5","true","false","4","10","true"
"322","0","0.5","true","false","2","5","false"
"320","0","0.5","true","false","3","7","true"
"323","0","0.5","true","false","2","4","true"
"324","0","0.5","true","false","2","4","true"
"325","0","0.5","true","false","2","2","false"
"326","0","0.5","true","false","2","2","false"
"321","0","0.5","true","false","7","19","true"
"328","0","0.5","true","false","2","4","true"
"330","0","0.5","true","false","2","4","true"
"1","0","0.5","true","false","5","13","true"
"329","0","0.5","true","false","4","10","true"
"331","0","0.5","true","false","2","4","true"
"332","0","0.5","true","false","2","2","false"
"333","0","0.5","true","false","2","2","false"
"334","0","0.5","true","false","2","4","true"
"335","0","0.5","true","false","2","2","false"
"327","0","0.5","true","false","7","19","true"
"337","0","0.5","true","false","2","4","true"
"338","0","0.5","true","false","2","4","true"
"341","0","0.5","true","false","2","2","false"
"339","0","0.5","true","false","2","5","false"
"340","0","0.5","true","false","2","5","false"
"342","0","0.5","true","false","2","2","false"
"343","0","0.5","true","false","3","7","true"
"344","0","0.5","true","false","2","4","true"
"345","0","0.5","true","false","2","2","false"
"348","0","0.5","true","false","2","2","false"
"346","0","0.5","true","false","2","5","false"
"347","0","0.5","true","false","3","7","true"
"349","0","0.5","true","false","2","5","false"
"350","0","0.5","true","false","2","4","true"
"351","0","0.5","true","false","2","2","false"
"353","0","0.5","true","false","2","4","true"
"352","0","0.5","true","false","2","2","false"
"354","0","0.5","true","false","3","7","true"
"355","0","0.5","true","false","2","4","true"
"357","0","0.5","true","false","2","4","true"
"358","0","0.5","true","false","2","2","false"
"359","0","0.5","true","false","2","5","false"
"360","0","0.5","true","false","2","2","false"
"356","0","0.5","true","false","6","16","true"
"361","0","0.5","true","false","2","5","false"
"362","0","0.5","true","false","2","4","true"
"363","0","0.5","true","false","2","2","false"
"364","0","0.5","true","false","2","4","true"
"336","0","0.5","true","false","2","2","false"
"367","0","0.5","true","false","3","7","true"
"368","0","0.5","true","false","3","7","true"
"370","0","0.5","true","false","2","2","false"
"369","0","0.5","true","false","3","2","false"
"365","0","0.5","true","false","5","13","true"
"371","0","0.5","true","false","2","2","false"
"366","0","0.5","true","false","6","16","true"
"375","0","0.5","true","false","2","5","false"
"374","0","0.5","true","false","2","2","false"
"373","0","0.5","true","false","2","2","false"
"377","0","0.5","true","false","2","4","true"
"376","0","0.5","true","false","2","2","false"
"379","0","0.5","true","false","2","2","false"
"378","0","0.5","true","false","5","13","true"
"381","0","0.5","true","false","2","2","false"
"383","0","0.5","true","false","2","2","false"
"382","0","0.5","true","false","3","7","true"
"384","0","0.5","true","false","3","7","true"
"386","0","0.5","true","false","2","2","false"
"380","0","0.5","true","false","6","16","true"
"388","0","0.5","true","false","2","4","true"
"385","0","0.5","true","false","4","10","true"
"389","0","0.5","true","false","2","5","false"
"387","0","0.5","true","false","3","7","true"
"390","0","0.5","true","false","2","2","false"
"392","0","0.5","true","false","2","4","true"
"394","0","0.5","true","false","2","4","true"
"393","0","0.5","true","false","2","4","true"
"396","0","0.5","true","false","2","4","true"
"391","0","0.5","true","false","4","10","true"
"397","0","0.5","true","false","2","5","false"
"398","0","0.5","true","false","2","4","true"
"372","0","0.5","true","false","2","4","true"
"399","0","0.5","true","false","2","4","true"
"401","0","0.5","true","false","2","2","false"
"400","0","0.5","true","false","3","7","true"
"395","0","0.5","true","false","7","19","true"
"404","0","0.5","true","false","2","2","false"
"403","0","0.5","true","false","2","4","true"
"402","0","0.5","true","false","4","10","true"
"406","0","0.5","true","false","3","7","true"
"408","0","0.5","true","false","2","5","false"
"409","0","0.5","true","false","2","4","true"
"407","0","0.5","true","false","4","10","true"
"410","0","0.5","true","false","3","7","true"
"411","0","0.5","true","false","4","10","true"
"412","0","0.5","true","false","4","10","true"
"413","0","0.5","true","false","3","7","true"
"416","0","0.5","true","false","2","2","false"
"417","0","0.5","true","false","2","5","false"
"419","0","0.5","true","false","2","5","false"
"415","0","0.5","true","false","5","13","true"
"414","0","0.5","true","false","5","13","true"
"421","0","0.5","true","false","2","4","true"
"420","0","0.5","true","false","3","8","false"
"418","0","0.5","true","false","5","13","true"
"423","0","0.5","true","false","3","7","true"
"426","0","0.5","true","false","2","4","true"
"422","0","0.5","true","false","4","10","true"
"424","0","0.5","true","false","3","7","true"
"427","0","0.5","true","false","2","4","true"
"425","0","0.5","true","false","5","13","true"
"428","0","0.5","true","false","3","7","true"
"429","0","0.5","true","false","2","2","false"
"431","0","0.5","true","false","2","4","true"
"405","0","0.5","true","false","3","7","true"
"430","0","0.5","true","false","3","7","true"
"432","0","0.5","true","false","3","7","true"
"433","0","0.5","true","false","3","2","false"
"435","0","0.5","true","false","2","4","true"
"434","0","0.5","true","false","2","5","false"
"437","0","0.5","true","false","2","2","false"
"436","0","0.5","true","false","4","10","true"
"440","0","0.5","true","false","2","2","false"
"439","0","0.5","true","false","3","7","true"
"443","0","0.5","true","false","2","4","true"
"441","0","0.5","true","false","2","4","true"
"442","0","0.5","true","false","4","10","true"
"444","0","0.5","true","false","2","4","true"
"445","0","0.5","true","false","2","4","true"
"448","0","0.5","true","false","2","4","true"
"449","0","0.5","true","false","2","2","false"
"446","0","0.5","true","false","3","7","true"
"447","0","0.5","true","false","3","7","true"
"450","0","0.5","true","false","2","4","true"
"452","0","0.5","true","false","2","4","true"
"451","0","0.5","true","false","3","7","true"
"453","0","0.5","true","false","2","4","true"
"456","0","0.5","true","false","2","5","false"
"454","0","0.5","true","false","3","8","false"
"457","0","0.5","true","false","2","2","false"
"455","0","0.5","true","false","5","13","true"
"458","0","0.5","true","false","2","5","false"
"459","0","0.5","true","false","2","2","false"
"461","0","0.5","true","false","2","2","false"
"460","0","0.5","true","false","2","4","true"
"462","0","0.5","true","false","2","4","true"
"464","0","0.5","true","false","2","2","false"
"463","0","0.5","true","false","3","7","true"
"466","0","0.5","true","false","2","2","false"
"438","0","0.5","true","false","2","2","false"
"468","0","0.5","true","false","2","2","false"
"467","0","0.5","true","false","2","4","true"
"465","0","0.5","true","false","5","13","true"
"470","0","0.5","true","false","2","5","false"
"471","0","0.5","true","false","2","2","false"
"472","0","0.5","true","false","2","2","false"
"474","0","0.5","true","false","2","4","true"
"469","0","0.5","true","false","7","19","true"
"476","0","0.5","true","false","2","2","false"
"477","0","0.5","true","false","2","5","false"
"479","0","0.5","true","false","2","4","true"
"478","0","0.5","true","false","2","5","false"
"480","0","0.5","true","false","2","2","false"
"482","0","0.5","true","false","2","4","true"
"484","0","0.5","true","false","2","4","true"
"475","0","0.5","true","false","8","22","true"
"481","0","0.5","true","false","5","13","true"
"483","0","0.5","true","false","4","10","true"
"485","0","0.5","true","false","3","7","true"
"486","0","0.5","true","false","4","10","true"
"489","0","0.5","true","false","2","4","true"
"488","0","0.5","true","false","2","5","false"
"487","0","0.5","true","false","2","4","true"
"491","0","0.5","true","false","2","4","true"
"492","0","0.5","true","false","2","4","true"
"490","0","0.5","true","false","3","7","true"
"493","0","0.5","true","false","2","4","true"
"495","0","0.5","true","false","2","4","true"
"473","0","0.5","true","false","2","4","true"
"496","0","0.5","true","false","2","5","false"
"494","0","0.5","true","false","3","7","true"
"498","0","0.5","true","false","2","4","true"
"499","0","0.5","true","false","2","5","false"
"500","0","0.5","true","false","2","4","true"
"497","0","0.5","true","false","3","2","false"
"501","0","0.5","true","false","3","2","false"
"504","0","0.5","true","false","2","4","true"
"505","0","0.5","true","false","2","2","false"
"502","0","0.5","true","false","4","10","true"
"507","0","0.5","true","false","2","4","true"
"506","0","0.5","true","false","3","7","true"
"508","0","0.5","true","false","2","4","true"
"509","0","0.5","true","false","2","4","true"
"510","0","0.5","true","false","2","4","true"
"512","0","0.5","true","false","2","2","false"
"514","0","0.5","true","false","3","7","true"
"513","0","0.5","true","false","4","10","true"
"517","0","0.5","true","false","2","2","false"
"516","0","0.5","true","false","3","7","true"
"515","0","0.5","true","false","5","13","true"
"518","0","0.5","true","false","3","7","true"
"519","0","0.5","true","false","2","5","false"
"520","0","0.5","true","false","2","4","true"
"521","0","0.5","true","false","2","4","true"
"522","0","0.5","true","false","2","4","true"
"523","0","0.5","true","false","2","4","true"
"524","0","0.5","true","false","2","2","false"
"503","0","0.5","true","false","2","2","false"
"525","0","0.5","true","false","2","5","false"
"527","0","0.5","true","false","2","4","true"
"526","0","0.5","true","false","2","2","false"
"528","0","0.5","true","false","2","2","false"
"529","0","0.5","true","false","4","10","true"
"531","0","0.5","true","false","2","5","false"
"530","0","0.5","true","false","4","10","true"
"533","0","0.5","true","false","2","5","false"
"535","0","0.5","true","false","2","5","false"
"534","0","0.5","true","false","3","7","true"
"536","0","0.5","true","false","2","4","true"
"538","0","0.5","true","false","2","4","true"
"539","0","0.5","true","false","2","4","true"
"540","0","0.5","true","false","2","4","true"
"541","0","0.5","true","false","2","4","true"
"537","0","0.5","true","false","6","16","true"
"542","0","0.5","true","false","2","2","false"
"543","0","0.5","true","false","3","5","false"
"511","0","0.5","true","false","2","4","true"
"545","0","0.5","true","false","2","5","false"
"546","0","0.5","true","false","2","4","true"
"544","0","0.5","true","false","5","13","true"
"548","0","0.5","true","false","2","4","true"
"549","0","0.5","true","false","2","4","true"
"550","0","0.5","true","false","2","4","true"
"551","0","0.5","true","false","3","2","false"
"547","0","0.5","true","false","4","5","false"
"552","0","0.5","true","false","3","8","false"
"554","0","0.5","true","false","2","4","true"
"553","0","0.5","true","false","4","2","false"
"556","0","0.5","true","false","3","7","true"
"558","0","0.5","true","false","2","5","false"
"559","0","0.5","true","false","2","4","true"
"555","0","0.5","true","false","4","2","false"
"560","0","0.5","true","false","2","4","true"
"557","0","0.5","true","false","4","10","true"
"532","0","0.5","true","false","3","7","true"
"561","0","0.5","true","false","2","2","false"
"562","0","0.5","true","false","2","5","false"
"563","0","0.5","true","false","2","5","false"
"564","0","0.5","true","false","2","2","false"
"566","0","0.5","true","false","2","2","false"
"565","0","0.5","true","false","3","7","true"
"569","0","0.5","true","false","2","4","true"
"567","0","0.5","true","false","4","10","true"
"570","0","0.5","true","false","2","4","true"
"571","0","0.5","true","false","2","4","true"
"572","0","0.5","true","false","2","4","true"
"573","0","0.5","true","false","2","4","true"
"576","0","0.5","true","false","2","2","false"
"574","0","0.5","true","false","3","7","true"
"575","0","0.5","true","false","2","4","true"
"578","0","0.5","true","false","2","4","true"
"577","0","0.5","true","false","3","7","true"
"579","0","0.5","true","false","2","4","true"
"580","0","0.5","true","false","2","4","true"
"581","0","0.5","true","false","2","2","false"
"582","0","0.5","true","false","2","5","false"
"585","0","0.5","true","false","2","5","false"
"586","0","0.5","true","false","2","4","true"
"584","0","0.5","true","false","4","10","true"
"583","0","0.5","true","false","4","10","true"
"587","0","0.5","true","false","2","2","false"
"588","0","0.5","true","false","2","4","true"
"589","0","0.5","true","false","2","4","true"
"590","0","0.5","true","false","2","4","true"
"591","0","0.5","true","false","2","4","true"
"568","0","0.5","true","false","2","5","false"
"593","0","0.5","true","false","2","2","false"
"594","0","0.5","true","false","2","4","true"
"596","0","0.5","true","false","2","4","true"
"595","0","0.5","true","false","2","4","true"
"597","0","0.5","true","false","2","2","false"
"598","0","0.5","true","false","2","2","false"
"602","0","0.5","true","false","2","4","true"
"599","0","0.5","true","false","4","10","true"
"603","0","0.5","true","false","2","4","true"
"605","0","0.5","true","false","2","4","true"
"601","0","0.5","true","false","5","13","true"
"604","0","0.5","true","false","4","10","true"
"592","0","0.5","true","false","11","31","true"
"606","0","0.5","true","false","2","2","false"
"607","0","0.5","true","false","2","2","false"
"608","0","0.5","true","false","2","4","true"
"609","0","0.5","true","false","2","4","true"
"610","0","0.5","true","false","2","4","true"
"611","0","0.5","true","false","3","7","true"
"613","0","0.5","true","false","2","2","false"
"612","0","0.5","true","false","2","4","true"
"614","0","0.5","true","false","2","2","false"
"615","0","0.5","true","false","2","5","false"
"616","0","0.5","true","false","2","4","true"
"617","0","0.5","true","false","2","4","true"
"619","0","0.5","true","false","2","4","true"
"620","0","0.5","true","false","2","2","false"
"621","0","0.5","true","false","2","4","true"
"622","0","0.5","true","false","3","7","true"
"618","0","0.5","true","false","4","10","true"
"600","0","0.5","true","false","2","5","false"
"623","0","0.5","true","false","2","4","true"
"627","0","0.5","true","false","2","4","true"
"626","0","0.5","true","false","3","7","true"
"625","0","0.5","true","false","4","10","true"
"624","0","0.5","true","false","5","13","true"
"628","0","0.5","true","false","4","10","true"
"632","0","0.5","true","false","2","4","true"
"631","0","0.5","true","false","3","7","true"
"629","0","0.5","true","false","5","13","true"
"633","0","0.5","true","false","3","7","true"
"635","0","0.5","true","false","2","5","false"
"636","0","0.5","true","false","2","2","false"
"634","0","0.5","true","false","4","11","false"
"638","0","0.5","true","false","2","5","false"
"639","0","0.5","true","false","3","2","false"
"637","0","0.5","true","false","4","10","true"
"640","0","0.5","true","false","2","4","true"
"641","0","0.5","true","false","2","4","true"
"643","0","0.5","true","false","2","5","false"
"642","0","0.5","true","false","3","7","true"
"644","0","0.5","true","false","2","5","false"
"647","0","0.5","true","false","2","2","false"
"646","0","0.5","true","false","2","2","false"
"645","0","0.5","true","false","2","4","true"
"648","0","0.5","true","false","2","4","true"
"650","0","0.5","true","false","2","4","true"
"651","0","0.5","true","false","2","2","false"
"630","0","0.5","true","false","2","4","true"
"654","0","0.5","true","false","4","10","true"
"649","0","0.5","true","false","6","16","true"
"655","0","0.5","true","false","3","5","false"
"653","0","0.5","true","false","5","13","true"
"657","0","0.5","true","false","2","4","true"
"656","0","0.5","true","false","2","2","false"
"652","0","0.5","true","false","5","13","true"
"659","0","0.5","true","false","2","4","true"
"662","0","0.5","true","false","2","4","true"
"661","0","0.5","true","false","3","7","true"
"665","0","0.5","true","false","2","4","true"
"664","0","0.5","true","false","3","7","true"
"660","0","0.5","true","false","6","16","true"
"667","0","0.5","true","false","2","4","true"
"663","0","0.5","true","false","6","16","true"
"668","0","0.5","true","false","2","4","true"
"666","0","0.5","true","false","3","8","false"
"669","0","0.5","true","false","3","7","true"
"670","0","0.5","true","false","3","7","true"
"672","0","0.5","true","false","2","4","true"
"671","0","0.5","true","false","3","7","true"
"674","0","0.5","true","false","3","7","true"
"675","0","0.5","true","false","2","5","false"
"673","0","0.5","true","false","4","10","true"
"676","0","0.5","true","false","3","8","false"
"658","0","0.5","true","false","2","4","true"
"679","0","0.5","true","false","2","5","false"
"677","0","0.5","true","false","4","10","true"
"680","0","0.5","true","false","2","2","false"
"681","0","0.5","true","false","3","7","true"
"678","0","0.5","true","false","5","13","true"
"683","0","0.5","true","false","2","4","true"
"682","0","0.5","true","false","3","2","false"
"685","0","0.5","true","false","2","2","false"
"686","0","0.5","true","false","2","2","false"
"687","0","0.5","true","false","2","4","true"
